shipment_id,product_id,carrier,origin,destination,status,last_update
SHP044,PDT044,Delhivery,New Adamland,South Michael,Delivered,2025-05-01 08:03
SHP045,PDT045,DHL,South Sarah,North Crystalshire,Exception,2025-05-01 22:03
SHP046,PDT046,Delhivery,Port Leslie,Rachelshire,Dispatched,2025-05-02 13:03
SHP047,PDT047,DHL,Christensenland,South Jeffery,Dispatched,2025-05-03 04:03
SHP048,PDT048,FedEx,New Alan,Lake Lisa,Dispatched,2025-05-02 21:03
SHP049,PDT049,DHL,Haydenton,Port James,Exception,2025-05-03 13:03
SHP050,PDT050,BlueDart,Lake Benjamin,East Christie,Exception,2025-05-02 02:03
SHP051,PDT051,FedEx,North Logan,West Kevinville,Delayed,2025-05-03 04:03
SHP052,PDT052,Delhivery,Johnhaven,Port Kathyshire,Dispatched,2025-05-02 03:03
SHP053,PDT053,Delhivery,South Amber,South Anthony,Dispatched,2025-05-02 03:03
SHP054,PDT054,BlueDart,South Tommyton,Austinhaven,In Transit,2025-05-02 15:03
SHP055,PDT055,Delhivery,North Jamestown,North Markville,Dispatched,2025-05-01 08:03
SHP056,PDT056,Delhivery,Kellyview,Coreyburgh,Delivered,2025-05-03 13:03
SHP057,PDT057,BlueDart,Janicemouth,Lake Jessica,Delayed,2025-05-02 13:03
SHP058,PDT058,FedEx,Leeland,Michelleburgh,Delivered,2025-05-03 03:03
SHP059,PDT059,Delhivery,Hallmouth,Port Jasonfort,Delivered,2025-05-01 17:03
SHP060,PDT060,BlueDart,West Raymond,West Danielle,In Transit,2025-05-02 09:03
SHP061,PDT061,FedEx,Carolfort,North Danielle,Delayed,2025-05-02 18:03
SHP062,PDT062,BlueDart,Carolview,Micheleshire,Exception,2025-04-30 18:03
SHP063,PDT063,DHL,Johnsonborough,New Deborahberg,Delayed,2025-04-30 20:03
SHP064,PDT064,BlueDart,Lake Joyce,Leeville,Dispatched,2025-05-01 06:03
SHP065,PDT065,Delhivery,Andersonshire,East Jasonborough,Dispatched,2025-04-30 22:03
SHP066,PDT066,Delhivery,North Theodore,Connorton,In Transit,2025-05-03 13:03
SHP067,PDT067,DHL,Port Yolandaview,West Theresabury,Delayed,2025-05-01 06:03
SHP068,PDT068,Delhivery,Mcdowellbury,North Maria,Delayed,2025-05-03 13:03
SHP069,PDT069,DHL,Lake Mary,New Kimberlyberg,Delivered,2025-05-02 04:03
SHP070,PDT070,DHL,Cabrerafurt,Sabrinahaven,In Transit,2025-05-01 23:03
SHP071,PDT071,DHL,East Sandra,West Williamland,In Transit,2025-05-03 11:03
SHP072,PDT072,FedEx,Port Jonathan,New Andrew,Exception,2025-05-02 23:03
SHP073,PDT073,Delhivery,South Jasonland,Stephensonton,Exception,2025-05-02 19:03
SHP074,PDT074,BlueDart,Acevedoburgh,South Carrie,Dispatched,2025-05-03 13:03
SHP075,PDT075,FedEx,North Johnville,Tatefort,Delivered,2025-05-01 06:03
SHP076,PDT076,Delhivery,Jonesborough,Lake Michaelmouth,Exception,2025-05-01 07:03
SHP077,PDT077,Delhivery,Port April,Davidshire,Delayed,2025-05-02 18:03
SHP078,PDT078,DHL,Vasquezmouth,Ellisfurt,In Transit,2025-05-01 10:03
SHP079,PDT079,FedEx,Holmesland,Hansenmouth,Exception,2025-05-02 00:03
SHP080,PDT080,BlueDart,Karenville,South Raymondton,Delivered,2025-05-01 18:03
SHP081,PDT081,DHL,Lake Cesar,New Kimberly,Exception,2025-04-30 23:03
SHP082,PDT082,BlueDart,East Darrylbury,Saraburgh,In Transit,2025-05-02 07:03
SHP083,PDT083,Delhivery,Erinchester,Port Michael,Dispatched,2025-05-03 10:03
SHP084,PDT084,BlueDart,West Ellenfurt,Port Jackbury,Delivered,2025-04-30 19:03
SHP085,PDT085,Delhivery,Lake Lorrainestad,Tomland,Delayed,2025-05-01 21:03
SHP086,PDT086,BlueDart,New Jasonborough,North Leahbury,Delivered,2025-05-01 00:03
SHP087,PDT087,FedEx,Lake Monicaborough,Morganberg,In Transit,2025-05-03 04:03
SHP088,PDT088,BlueDart,Jimmyborough,Joshuamouth,In Transit,2025-04-30 17:03
SHP089,PDT089,Delhivery,Andersonside,East Kristenmouth,Dispatched,2025-05-01 21:03
SHP090,PDT090,BlueDart,East Amandatown,Aprilside,Delivered,2025-05-02 21:03
SHP091,PDT091,BlueDart,Jasmineberg,New Ryanville,Delivered,2025-05-01 04:03
SHP092,PDT092,Delhivery,Tracymouth,Jenniferside,Delivered,2025-05-02 12:03
SHP093,PDT093,DHL,Kristinestad,Jayberg,Delivered,2025-05-01 07:03
SHP094,PDT094,BlueDart,North Omarland,Randychester,Delivered,2025-05-01 13:03
SHP095,PDT095,BlueDart,New Phillip,Bushfort,Exception,2025-05-03 02:03
SHP096,PDT096,DHL,Meyersbury,West Ritaburgh,Dispatched,2025-05-01 17:03
SHP097,PDT097,BlueDart,Ellisside,Joshuaview,Dispatched,2025-04-30 19:03
SHP098,PDT098,BlueDart,East Yesenia,East Rachel,Delayed,2025-05-02 10:03
SHP099,PDT099,DHL,Brewermouth,North Jeremyville,Delayed,2025-05-03 05:03
SHP100,PDT100,Delhivery,New Brittneymouth,New Josemouth,Dispatched,2025-05-01 16:03
